bet_date,bookmaker,event_name,market,sport,tipster,units_bet,odds,result
07/05/2026,Betano,O'Higgins - São Paulo,Resultado Final: São Paulo & Total de gols: Mais de 1.5,,,,3.0,pending
07/05/2026,Betesporte,SC Braga Vencer o SC Freiburg,Sim,,,,5.67,red
07/05/2026,App,Strasbourg vs Rayo Vallecano,Mais de 0.5 Finalizações no Gol,,,,2.3,red
07/05/2026,App,Aston Villa vs Nott. Forest,Mais de 0.5 Finalizações no Gol,,,,1.78,green
07/05/2026,App,Freiburg vs Braga,Mais de 0.5,,,,2.3,green
07/05/2026,App,O'Higgins vs São Paulo,Mais de 0.5 Finalizações no Gol,,,,1.74,pending
07/05/2026,Betmgm,Blooming Santa Cruz - RB Bragantino,Ambos os Times Marcam,,,,2.61,pending
07/05/2026,Novibet,Independente Medellin - Flamengo RJ,Flamengo RJ para ganhar,,,,3.0,pending
07/05/2026,Esportesdasorte,Ind. Medellín x Flamengo,Flamengo Para Ganhar & Mais de 2.5 Gols,,,,3.7,pending
07/05/2026,Betesporte,Rayo Vallecano Vencer o Strasbourg,Rayo Vallecano Vencer o Strasbourg -> Sim,,,,4.27,green
07/05/2026,Betesporte,SC Braga Vencer o SC Freiburg,Sim,,,,5.67,red
07/05/2026,Bet365,O'Higgins v São Paulo,Para Ambos os Times Receberem Um Cartão,,,,3.0,pending
07/05/2026,Esportesdasorte,Mirassol x LDU Quito,Para Ambos os Times Marcarem & Para Ambos os Times Receberem 2 ou Mais Cartões,,,,4.25,pending
07/05/2026,Esportesdasorte,O'Higgins x São Paulo,Para Ambos os Times Marcarem & Mais de 9.5 Escanteios,,,,4.0,pending
07/05/2026,Esportesdasorte,O'Higgins x São Paulo,Mais de 0.5 Gols no 1º Tempo & Mais de 10.5 Escanteios,,,,3.75,pending
07/05/2026,Esportesdasorte,Ind. Medellín x Flamengo,Flamengo Para Ganhar o 1º Tempo,,,,3.0,pending
07/05/2026,Esportesdasorte,Blooming x RB Bragantino,Mais de 2.5 Gols & Mais de 9.5 Escanteios (Era 3.3),,,,4.25,pending
07/05/2026,Esportesdasorte,Carabobo x River Plate,River Plate Para Ganhar & Mais de 2.5 Gols,,,,4.25,pending
07/05/2026,Betano,Independente Medellin - Flamengo,Menos de 0.5 - Total de gols Mais/Menos - 1° Tempo,,,,2.52,pending
07/05/2026,Esportesdasorte,Carabobo x River Plate,Mais de 0.5 Gols no 1º,,,,,pending
07/05/2026,Esportesdasorte,Aston Villa x Nottingham Forest,Mais de 2.5 Gols & Mais de 10.5 Escanteios,,,,4.6,pending
07/05/2026,Esportesdasorte,Freiburg x Braga,Mais de 0.5 Gols no 1º Tempo & Mais de 10.5 Escanteios,,,,4.75,green
07/05/2026,Esportesdasorte,Strasbourg x Rayo Vallecano,Mais de 2.5 Gols & Mais de 10.5 Escanteios,,,,4.8,pending
07/05/2026,Esportesdasorte,Aston Villa - Freiburg - Crystal Palace - Strasbourg,Vencem (Era 9.5),,,,12.0,pending
07/05/2026,Lottu,Freiburg x Braga,Para Ambos os Times Marcarem,,,,4.5,pending
07/05/2026,Lottu,Aston Villa x Nottingham Forest,Total de Gols Mais/Menos - Mais de 2.5,,,,3.0,green
07/05/2026,Lottu,O'Higgins x São Paulo,Total de Cartões Mais/Menos - Mais de 4.5,,,,3.0,pending
07/05/2026,Lottu,Carabobo x River Plate,Total de Gols Mais/Menos - Mais de 2.5,,,,4.75,pending
07/05/2026,Betano,Crystal Palace x FC Shakhtar Donetsk,Menos de 0.5,,,,2.55,red
07/05/2026,Esportesdasorte,Ind. Medellín x Flamengo,Para Ambos os Times Marcarem & Mais de 9.5 Escanteios,,,,4.87,pending
